"","cellcount","AreaMmsq","celltype","Layers","Brainno","imagename","Genotype","Age"
"175",27,0.59462,"RCE_Calb","L6","171215_M83-154-3","171215_M83-153-3_002","Mafb+/fl","P21"
"176",1,0.12631,"CalbnegRCE","L1","171215_M83-154-3","171215_M83-153-3_002","Mafb+/fl","P21"
"177",27,0.39641,"CalbnegRCE","L23","171215_M83-154-3","171215_M83-153-3_002","Mafb+/fl","P21"
"178",34,0.2157,"CalbnegRCE","L4","171215_M83-154-3","171215_M83-153-3_002","Mafb+/fl","P21"
"179",33,0.43528,"CalbnegRCE","L5","171215_M83-154-3","171215_M83-153-3_002","Mafb+/fl","P21"
"180",26,0.59462,"CalbnegRCE","L6","171215_M83-154-3","171215_M83-153-3_002","Mafb+/fl","P21"
"181",2,0.12026,"RCE","L1","171215_M83-154-3","171215_M83-153-3_003","Mafb+/fl","P21"
"182",29,0.37393,"RCE","L23","171215_M83-154-3","171215_M83-153-3_003","Mafb+/fl","P21"
"183",20,0.24428,"RCE","L4","171215_M83-154-3","171215_M83-153-3_003","Mafb+/fl","P21"
"184",76,0.43782,"RCE","L5","171215_M83-154-3","171215_M83-153-3_003","Mafb+/fl","P21"
"185",29,0.49607,"RCE","L6","171215_M83-154-3","171215_M83-153-3_003","Mafb+/fl","P21"
"186",0,0.12026,"RCE_Calb","L1","171215_M83-154-3","171215_M83-153-3_003","Mafb+/fl","P21"
"187",7,0.37393,"RCE_Calb","L23","171215_M83-154-3","171215_M83-153-3_003","Mafb+/fl","P21"
"188",1,0.24428,"RCE_Calb","L4","171215_M83-154-3","171215_M83-153-3_003","Mafb+/fl","P21"
"189",46,0.43782,"RCE_Calb","L5","171215_M83-154-3","171215_M83-153-3_003","Mafb+/fl","P21"
"190",16,0.49607,"RCE_Calb","L6","171215_M83-154-3","171215_M83-153-3_003","Mafb+/fl","P21"
"191",2,0.12026,"CalbnegRCE","L1","171215_M83-154-3","171215_M83-153-3_003","Mafb+/fl","P21"
"192",14,0.37393,"CalbnegRCE","L23","171215_M83-154-3","171215_M83-153-3_003","Mafb+/fl","P21"
"193",66,0.24428,"CalbnegRCE","L4","171215_M83-154-3","171215_M83-153-3_003","Mafb+/fl","P21"
"194",25,0.43782,"CalbnegRCE","L5","171215_M83-154-3","171215_M83-153-3_003","Mafb+/fl","P21"
"195",15,0.49607,"CalbnegRCE","L6","171215_M83-154-3","171215_M83-153-3_003","Mafb+/fl","P21"
"196",1,0.16297,"RCE","L1","171215_M83-154-3","171215_M83-153-3_004","Mafb+/fl","P21"
"197",16,0.3702,"RCE","L23","171215_M83-154-3","171215_M83-153-3_004","Mafb+/fl","P21"
"198",39,0.3199,"RCE","L4","171215_M83-154-3","171215_M83-153-3_004","Mafb+/fl","P21"
"199",98,0.4708,"RCE","L5","171215_M83-154-3","171215_M83-153-3_004","Mafb+/fl","P21"
"200",31,0.43861,"RCE","L6","171215_M83-154-3","171215_M83-153-3_004","Mafb+/fl","P21"
"201",0,0.16297,"RCE_Calb","L1","171215_M83-154-3","171215_M83-153-3_004","Mafb+/fl","P21"
"202",2,0.3702,"RCE_Calb","L23","171215_M83-154-3","171215_M83-153-3_004","Mafb+/fl","P21"
"203",5,0.3199,"RCE_Calb","L4","171215_M83-154-3","171215_M83-153-3_004","Mafb+/fl","P21"
"204",44,0.4708,"RCE_Calb","L5","171215_M83-154-3","171215_M83-153-3_004","Mafb+/fl","P21"
"205",13,0.43861,"RCE_Calb","L6","171215_M83-154-3","171215_M83-153-3_004","Mafb+/fl","P21"
"206",7,0.16297,"CalbnegRCE","L1","171215_M83-154-3","171215_M83-153-3_004","Mafb+/fl","P21"
"207",72,0.3702,"CalbnegRCE","L23","171215_M83-154-3","171215_M83-153-3_004","Mafb+/fl","P21"
"208",72,0.3199,"CalbnegRCE","L4","171215_M83-154-3","171215_M83-153-3_004","Mafb+/fl","P21"
"209",29,0.4708,"CalbnegRCE","L5","171215_M83-154-3","171215_M83-153-3_004","Mafb+/fl","P21"
"210",18,0.43861,"CalbnegRCE","L6","171215_M83-154-3","171215_M83-153-3_004","Mafb+/fl","P21"
"211",2,0.1051,"RCE","L1","171215_M83-154-3","171215_M83-153-3_005","Mafb+/fl","P21"
"212",20,0.32742,"RCE","L23","171215_M83-154-3","171215_M83-153-3_005","Mafb+/fl","P21"
"213",33,0.34763,"RCE","L4","171215_M83-154-3","171215_M83-153-3_005","Mafb+/fl","P21"
