"","Region","GFP_","Areamm2","Brainno","Fieldname","Age","Genotype"
"245","SVZ",35,0,"111115_B3","111115-B3-s034","E16.5","Mafb+/+::SSTcre"
"246","All",68,0,"111115_B3","111115-B3-s034","E16.5","Mafb+/+::SSTcre"
"247","MZ",30,0,"111115_B3","111115-B3-s036","E16.5","Mafb+/+::SSTcre"
"248","SVZ",29,0,"111115_B3","111115-B3-s036","E16.5","Mafb+/+::SSTcre"
"249","All",65,0,"111115_B3","111115-B3-s036","E16.5","Mafb+/+::SSTcre"
"250","MZ",28,0,"111115_B3","111115-B3-s038","E16.5","Mafb+/+::SSTcre"
"251","SVZ",25,0,"111115_B3","111115-B3-s038","E16.5","Mafb+/+::SSTcre"
"252","All",55,0,"111115_B3","111115-B3-s038","E16.5","Mafb+/+::SSTcre"
"253","MZ",34,0,"111115_B3","111115-B3-s040","E16.5","Mafb+/+::SSTcre"
"254","SVZ",18,0,"111115_B3","111115-B3-s040","E16.5","Mafb+/+::SSTcre"
"255","All",58,0,"111115_B3","111115-B3-s040","E16.5","Mafb+/+::SSTcre"
"256","MZ",29,0,"111115_B3","111115-B3-s042","E16.5","Mafb+/+::SSTcre"
"257","SVZ",36,0,"111115_B3","111115-B3-s042","E16.5","Mafb+/+::SSTcre"
"258","All",68,0,"111115_B3","111115-B3-s042","E16.5","Mafb+/+::SSTcre"
"259","MZ",24,0,"111115_B3","111115-B3-s044","E16.5","Mafb+/+::SSTcre"
"260","SVZ",32,0,"111115_B3","111115-B3-s044","E16.5","Mafb+/+::SSTcre"
"261","All",61,0,"111115_B3","111115-B3-s044","E16.5","Mafb+/+::SSTcre"
"262","MZ",26,0,"111115_B3","111115-B3-s046","E16.5","Mafb+/+::SSTcre"
"263","SVZ",22,0,"111115_B3","111115-B3-s046","E16.5","Mafb+/+::SSTcre"
"264","All",51,0,"111115_B3","111115-B3-s046","E16.5","Mafb+/+::SSTcre"
"265","MZ",33,0,"1211-M91_B1","1211-M91-B1_S004","E16.5","Mafb-fl/fl::SSTcre"
"266","SVZ",43,0,"1211-M91_B1","1211-M91-B1_S004","E16.5","Mafb-fl/fl::SSTcre"
"267","All",83,0,"1211-M91_B1","1211-M91-B1_S004","E16.5","Mafb-fl/fl::SSTcre"
"268","MZ",30,0,"1211-M91_B1","1211-M91-B1_S006","E16.5","Mafb-fl/fl::SSTcre"
"269","SVZ",37,0,"1211-M91_B1","1211-M91-B1_S006","E16.5","Mafb-fl/fl::SSTcre"
"270","All",79,0,"1211-M91_B1","1211-M91-B1_S006","E16.5","Mafb-fl/fl::SSTcre"
"271","MZ",13,0,"1211-M91_B1","1211-M91-B1_S008","E16.5","Mafb-fl/fl::SSTcre"
"272","SVZ",34,0,"1211-M91_B1","1211-M91-B1_S008","E16.5","Mafb-fl/fl::SSTcre"
"273","All",52,0,"1211-M91_B1","1211-M91-B1_S008","E16.5","Mafb-fl/fl::SSTcre"
"274","MZ",26,0,"1211-M91_B1","1211-M91-B1_S010","E16.5","Mafb-fl/fl::SSTcre"
"275","SVZ",46,0,"1211-M91_B1","1211-M91-B1_S010","E16.5","Mafb-fl/fl::SSTcre"
"276","All",81,0,"1211-M91_B1","1211-M91-B1_S010","E16.5","Mafb-fl/fl::SSTcre"
"277","MZ",19,0,"1211-M91_B1","1211-M91-B1_S012","E16.5","Mafb-fl/fl::SSTcre"
"278","SVZ",33,0,"1211-M91_B1","1211-M91-B1_S012","E16.5","Mafb-fl/fl::SSTcre"
"279","All",58,0,"1211-M91_B1","1211-M91-B1_S012","E16.5","Mafb-fl/fl::SSTcre"
"280","MZ",23,0,"1211-M91_B1","1211-M91-B1_S014","E16.5","Mafb-fl/fl::SSTcre"
"281","SVZ",37,0,"1211-M91_B1","1211-M91-B1_S014","E16.5","Mafb-fl/fl::SSTcre"
"282","All",65,0,"1211-M91_B1","1211-M91-B1_S014","E16.5","Mafb-fl/fl::SSTcre"
"283","MZ",23,0,"1211-M91_B1","1211-M91-B1_S016","E16.5","Mafb-fl/fl::SSTcre"
"284","SVZ",41,0,"1211-M91_B1","1211-M91-B1_S016","E16.5","Mafb-fl/fl::SSTcre"
"285","All",72,0,"1211-M91_B1","1211-M91-B1_S016","E16.5","Mafb-fl/fl::SSTcre"
