"","cellcount","AreaMmsq","celltype","Layers","Brainno","imagename","Genotype","Age"
"136",0,0.17361,"RCE","L1","171215-M91-2B","171215-M83-2B-HET_010","Mafb-fl/+","P21"
"137",30,0.50324,"RCE","L23","171215-M91-2B","171215-M83-2B-HET_010","Mafb-fl/+","P21"
"138",42,0.36919,"RCE","L4","171215-M91-2B","171215-M83-2B-HET_010","Mafb-fl/+","P21"
"139",83,0.45709,"RCE","L5","171215-M91-2B","171215-M83-2B-HET_010","Mafb-fl/+","P21"
"140",35,0.52082,"RCE","L6","171215-M91-2B","171215-M83-2B-HET_010","Mafb-fl/+","P21"
"141",0,0.17361,"RCE_CR","L1","171215-M91-2B","171215-M83-2B-HET_010","Mafb-fl/+","P21"
"142",14,0.50324,"RCE_CR","L23","171215-M91-2B","171215-M83-2B-HET_010","Mafb-fl/+","P21"
"143",4,0.36919,"RCE_CR","L4","171215-M91-2B","171215-M83-2B-HET_010","Mafb-fl/+","P21"
"144",8,0.45709,"RCE_CR","L5","171215-M91-2B","171215-M83-2B-HET_010","Mafb-fl/+","P21"
"145",7,0.52082,"RCE_CR","L6","171215-M91-2B","171215-M83-2B-HET_010","Mafb-fl/+","P21"
"146",10,0.17361,"CRnegRCE","L1","171215-M91-2B","171215-M83-2B-HET_010","Mafb-fl/+","P21"
"147",39,0.50324,"CRnegRCE","L23","171215-M91-2B","171215-M83-2B-HET_010","Mafb-fl/+","P21"
"148",30,0.36919,"CRnegRCE","L4","171215-M91-2B","171215-M83-2B-HET_010","Mafb-fl/+","P21"
"149",14,0.45709,"CRnegRCE","L5","171215-M91-2B","171215-M83-2B-HET_010","Mafb-fl/+","P21"
"150",18,0.52082,"CRnegRCE","L6","171215-M91-2B","171215-M83-2B-HET_010","Mafb-fl/+","P21"
"151",1,0.1646,"RCE","L1","171215-M91-2B","171215-M83-2B-HET_011","Mafb-fl/+","P21"
"152",10,0.41553,"RCE","L23","171215-M91-2B","171215-M83-2B-HET_011","Mafb-fl/+","P21"
"153",23,0.23888,"RCE","L4","171215-M91-2B","171215-M83-2B-HET_011","Mafb-fl/+","P21"
"154",69,0.45969,"RCE","L5","171215-M91-2B","171215-M83-2B-HET_011","Mafb-fl/+","P21"
"155",44,0.63433,"RCE","L6","171215-M91-2B","171215-M83-2B-HET_011","Mafb-fl/+","P21"
"156",1,0.1646,"RCE_CR","L1","171215-M91-2B","171215-M83-2B-HET_011","Mafb-fl/+","P21"
"157",6,0.41553,"RCE_CR","L23","171215-M91-2B","171215-M83-2B-HET_011","Mafb-fl/+","P21"
"158",2,0.23888,"RCE_CR","L4","171215-M91-2B","171215-M83-2B-HET_011","Mafb-fl/+","P21"
"159",5,0.45969,"RCE_CR","L5","171215-M91-2B","171215-M83-2B-HET_011","Mafb-fl/+","P21"
"160",5,0.63433,"RCE_CR","L6","171215-M91-2B","171215-M83-2B-HET_011","Mafb-fl/+","P21"
"161",5,0.1646,"CRnegRCE","L1","171215-M91-2B","171215-M83-2B-HET_011","Mafb-fl/+","P21"
"162",34,0.41553,"CRnegRCE","L23","171215-M91-2B","171215-M83-2B-HET_011","Mafb-fl/+","P21"
"163",20,0.23888,"CRnegRCE","L4","171215-M91-2B","171215-M83-2B-HET_011","Mafb-fl/+","P21"
"164",26,0.45969,"CRnegRCE","L5","171215-M91-2B","171215-M83-2B-HET_011","Mafb-fl/+","P21"
"165",8,0.63433,"CRnegRCE","L6","171215-M91-2B","171215-M83-2B-HET_011","Mafb-fl/+","P21"
"166",1,0.1337,"RCE","L1","171215-M91-2B","171215-M83-2B-HET_012","Mafb-fl/+","P21"
"167",19,0.38143,"RCE","L23","171215-M91-2B","171215-M83-2B-HET_012","Mafb-fl/+","P21"
"168",13,0.29492,"RCE","L4","171215-M91-2B","171215-M83-2B-HET_012","Mafb-fl/+","P21"
"169",55,0.38929,"RCE","L5","171215-M91-2B","171215-M83-2B-HET_012","Mafb-fl/+","P21"
"170",39,0.4876,"RCE","L6","171215-M91-2B","171215-M83-2B-HET_012","Mafb-fl/+","P21"
"171",1,0.1337,"RCE_CR","L1","171215-M91-2B","171215-M83-2B-HET_012","Mafb-fl/+","P21"
"172",7,0.38143,"RCE_CR","L23","171215-M91-2B","171215-M83-2B-HET_012","Mafb-fl/+","P21"
"173",0,0.29492,"RCE_CR","L4","171215-M91-2B","171215-M83-2B-HET_012","Mafb-fl/+","P21"
"174",4,0.38929,"RCE_CR","L5","171215-M91-2B","171215-M83-2B-HET_012","Mafb-fl/+","P21"
"175",1,0.4876,"RCE_CR","L6","171215-M91-2B","171215-M83-2B-HET_012","Mafb-fl/+","P21"
"176",3,0.1337,"CRnegRCE","L1","171215-M91-2B","171215-M83-2B-HET_012","Mafb-fl/+","P21"
"177",21,0.38143,"CRnegRCE","L23","171215-M91-2B","171215-M83-2B-HET_012","Mafb-fl/+","P21"
"178",21,0.29492,"CRnegRCE","L4","171215-M91-2B","171215-M83-2B-HET_012","Mafb-fl/+","P21"
"179",17,0.38929,"CRnegRCE","L5","171215-M91-2B","171215-M83-2B-HET_012","Mafb-fl/+","P21"
"180",9,0.4876,"CRnegRCE","L6","171215-M91-2B","171215-M83-2B-HET_012","Mafb-fl/+","P21"
"181",1,0.1126,"RCE","L1","171215-M91-2B","171215-M83-2B-HET_013","Mafb-fl/+","P21"
"182",12,0.27794,"RCE","L23","171215-M91-2B","171215-M83-2B-HET_013","Mafb-fl/+","P21"
"183",13,0.2195,"RCE","L4","171215-M91-2B","171215-M83-2B-HET_013","Mafb-fl/+","P21"
"184",49,0.27794,"RCE","L5","171215-M91-2B","171215-M83-2B-HET_013","Mafb-fl/+","P21"
"185",23,0.38199,"RCE","L6","171215-M91-2B","171215-M83-2B-HET_013","Mafb-fl/+","P21"
"186",1,0.1126,"RCE_CR","L1","171215-M91-2B","171215-M83-2B-HET_013","Mafb-fl/+","P21"
"187",6,0.27794,"RCE_CR","L23","171215-M91-2B","171215-M83-2B-HET_013","Mafb-fl/+","P21"
"188",1,0.2195,"RCE_CR","L4","171215-M91-2B","171215-M83-2B-HET_013","Mafb-fl/+","P21"
"189",2,0.27794,"RCE_CR","L5","171215-M91-2B","171215-M83-2B-HET_013","Mafb-fl/+","P21"
"190",1,0.38199,"RCE_CR","L6","171215-M91-2B","171215-M83-2B-HET_013","Mafb-fl/+","P21"
"191",3,0.1126,"CRnegRCE","L1","171215-M91-2B","171215-M83-2B-HET_013","Mafb-fl/+","P21"
"192",17,0.27794,"CRnegRCE","L23","171215-M91-2B","171215-M83-2B-HET_013","Mafb-fl/+","P21"
"193",14,0.2195,"CRnegRCE","L4","171215-M91-2B","171215-M83-2B-HET_013","Mafb-fl/+","P21"
"194",13,0.27794,"CRnegRCE","L5","171215-M91-2B","171215-M83-2B-HET_013","Mafb-fl/+","P21"
"195",5,0.38199,"CRnegRCE","L6","171215-M91-2B","171215-M83-2B-HET_013","Mafb-fl/+","P21"
"196",2,0.12305,"RCE","L1","171215-M91-2B","171215-M83-2B-HET_014","Mafb-fl/+","P21"
"197",17,0.37901,"RCE","L23","171215-M91-2B","171215-M83-2B-HET_014","Mafb-fl/+","P21"
"198",16,0.28549,"RCE","L4","171215-M91-2B","171215-M83-2B-HET_014","Mafb-fl/+","P21"
"199",43,0.3101,"RCE","L5","171215-M91-2B","171215-M83-2B-HET_014","Mafb-fl/+","P21"
"200",23,0.4512,"RCE","L6","171215-M91-2B","171215-M83-2B-HET_014","Mafb-fl/+","P21"
